"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"ADAP2" 4.73731033580489e-59 1.03447723637964 0.26 0.089 9.23822888585312e-55 "1" "ADAP2"
"ARHGAP5" 6.25146402239459e-59 0.786134709979224 0.653 0.473 1.21909799900717e-54 "1" "ARHGAP5"
"TANC2" 3.25277751636775e-58 0.953339640784181 0.308 0.113 6.34324143466875e-54 "1" "TANC2"
"FCGR3" 1.20791373839439e-56 0.730992498658587 0.405 0.193 2.3555525812429e-52 "1" "FCGR3"
"MBNL1" 2.09622467010149e-56 0.724314923786318 0.447 0.298 4.08784772916493e-52 "1" "MBNL1"
"GATM" 3.95493019051517e-56 0.64922383663367 0.508 0.324 7.71250936452362e-52 "1" "GATM"
"BASP1" 9.1573051954674e-56 0.855881193433575 0.451 0.246 1.7857660861681e-51 "1" "BASP1"
"GCNT1" 1.13628215006428e-55 0.987061336058945 0.279 0.099 2.21586382084036e-51 "1" "GCNT1"
"FOS" 5.85333221047233e-55 0.876000128145724 0.393 0.234 1.14145831436421e-50 "1" "FOS"
"SAMSN1" 6.04875940825923e-55 0.848863973110217 0.37 0.171 1.17956857220463e-50 "1" "SAMSN1"
"RIN2" 9.0534224600433e-55 0.901868056007946 0.373 0.188 1.76550791393304e-50 "1" "RIN2"
"LY86" 9.72178418046182e-55 0.785596718135092 0.366 0.161 1.89584513303186e-50 "1" "LY86"
"HSP90B1" 3.83326772269384e-53 0.40341984313736 0.842 0.812 7.47525538602527e-49 "1" "HSP90B1"
"INPP5D" 4.43730283706919e-53 0.917113523101919 0.251 0.087 8.65318426256862e-49 "1" "INPP5D"
"GRN" 1.70009962478694e-52 0.603836121594083 0.505 0.307 3.31536427829701e-48 "1" "GRN"
"FCER1G" 5.53657641877271e-52 0.467229388680889 0.475 0.263 1.07968776742487e-47 "1" "FCER1G"
"SIRPA" 3.4555240533535e-51 0.703272131282101 0.429 0.247 6.73861745644467e-47 "1" "SIRPA"
"NRIP1" 4.33080204692726e-51 0.985301600372887 0.329 0.167 8.44549707171285e-47 "1" "NRIP1"
"GNS" 6.87296338759177e-51 0.731175025171871 0.397 0.226 1.34029659021427e-46 "1" "GNS"
"WASF2" 9.96972550168214e-51 0.734941327681951 0.395 0.244 1.94419617008303e-46 "1" "WASF2"
"4632428N05RIK" 1.21183548708567e-50 1.24309224736126 0.221 0.053 2.36320038336577e-46 "1" "4632428N05RIK"
"OGFRL1" 2.68606668902094e-50 0.895181903187501 0.316 0.161 5.23809865025973e-46 "1" "OGFRL1"
"ARHGAP30" 2.78456674621472e-50 0.888882877887888 0.285 0.11 5.43018361179333e-46 "1" "ARHGAP30"
"CD37" 1.39417766356174e-49 0.775599428598653 0.305 0.125 2.71878586171175e-45 "1" "CD37"
"BMP2K" 1.63510582565558e-49 0.883640048394956 0.37 0.196 3.18861987061095e-45 "1" "BMP2K"
"PTPRC" 2.14403714801068e-49 0.691656080051708 0.436 0.226 4.18108684233562e-45 "1" "PTPRC"
"LYN" 3.1537190946931e-49 0.76292419653218 0.365 0.201 6.15006760656102e-45 "1" "LYN"
"CAMK1" 4.01855540578621e-49 0.83362849032107 0.319 0.166 7.83658489682368e-45 "1" "CAMK1"
"UBASH3B" 5.52530505093528e-48 0.871160864610223 0.283 0.123 1.07748973798289e-43 "1" "UBASH3B"
"CD53" 7.75518651573414e-48 0.723398018315799 0.322 0.149 1.51233892243331e-43 "1" "CD53"
"SALL1" 1.83896382265431e-47 0.889994027606683 0.208 0.062 3.58616335055816e-43 "1" "SALL1"
"HK2" 2.56019791034747e-47 0.728936581376744 0.272 0.111 4.9926419449686e-43 "1" "HK2"
"CTSB" 1.01752636461699e-46 0.399266028711113 0.665 0.546 1.98427816363959e-42 "1" "CTSB"
"BLNK" 1.25842897395462e-46 0.837554693881023 0.236 0.076 2.45406234210891e-42 "1" "BLNK"
"SGK1" 1.66795123217651e-46 0.71402437305464 0.367 0.214 3.25267169786741e-42 "1" "SGK1"
"CYFIP1" 3.02359056818249e-46 0.641986905022514 0.461 0.309 5.89630396701268e-42 "1" "CYFIP1"
"PICALM" 3.55251110612861e-46 0.657874012626152 0.41 0.263 6.92775190806141e-42 "1" "PICALM"
"GPR183" 2.11557358557451e-44 0.826566751275775 0.238 0.095 4.12558004922886e-40 "1" "GPR183"
"IKZF1" 3.14565049453206e-44 0.758274264240192 0.204 0.066 6.13433302938698e-40 "1" "IKZF1"
"MARCH1" 1.07052823784315e-43 0.942036855740213 0.27 0.121 2.08763711661792e-39 "1" "MARCH1"
"FAM105A" 1.1291482421668e-43 0.857175669932817 0.227 0.085 2.20195198704948e-39 "1" "FAM105A"
"LPAR6" 1.89307761104665e-43 0.967845258581886 0.344 0.187 3.69169064930207e-39 "1" "LPAR6"
"DOCK10" 3.42583538896092e-43 0.836103479211127 0.251 0.105 6.68072159201269e-39 "1" "DOCK10"
"HMHA1" 3.97034131377038e-43 0.897454721019514 0.196 0.067 7.74256259598361e-39 "1" "HMHA1"
"B2M" 9.71733272777353e-43 0.15639222769171 0.744 0.629 1.89497705524312e-38 "1" "B2M"
"AKAP13" 6.47528602407071e-41 0.70117162022082 0.373 0.232 1.26274552755403e-36 "1" "AKAP13"
"IFNGR1" 8.30440426157837e-41 0.832148642040361 0.305 0.166 1.6194418750504e-36 "1" "IFNGR1"
"TPM3" 1.06245834626871e-40 0.483076347783078 0.606 0.517 2.07190002105862e-36 "1" "TPM3"
"NCKAP1L" 1.24350523303915e-40 0.664535319795846 0.237 0.091 2.42495955494966e-36 "1" "NCKAP1L"
"CAPZA2" 1.29698354756798e-40 0.609971479924395 0.502 0.403 2.52924761611231e-36 "1" "CAPZA2"
"CREG1" 5.58602487021205e-40 0.534748274084958 0.519 0.364 1.08933070994005e-35 "1" "CREG1"
"LTC4S" 5.83253767064665e-40 0.799077037435165 0.21 0.086 1.1374031711528e-35 "1" "LTC4S"
"NUMB" 6.07068478133648e-40 0.945072886330231 0.217 0.076 1.18384423920843e-35 "1" "NUMB"
"GTF2H2" 9.03989390704902e-40 0.84605902504184 0.257 0.111 1.76286971081363e-35 "1" "GTF2H2"
"CD33" 1.50229605701783e-39 0.562642856523983 0.167 0.047 2.92962754079047e-35 "1" "CD33"
"PIP4K2A" 1.74283939600409e-39 0.765678610678301 0.313 0.161 3.39871110614758e-35 "1" "PIP4K2A"
"DOCK8" 3.59836838960744e-39 0.74119877078149 0.217 0.079 7.01717819657346e-35 "1" "DOCK8"
"EVI2A" 4.66174471822364e-39 0.681722029188231 0.266 0.119 9.09086837500792e-35 "1" "EVI2A"
"UBC" 6.37227140006299e-39 0.495874030672661 0.527 0.47 1.24265664572628e-34 "1" "UBC"
"FERMT3" 6.82949676469962e-39 0.703031278406929 0.254 0.113 1.33182016408407e-34 "1" "FERMT3"
"SLC29A3" 6.93587924121069e-39 0.708354289555582 0.264 0.113 1.3525658108285e-34 "1" "SLC29A3"
"ZFP36" 8.80525995312291e-39 0.61749092937486 0.35 0.198 1.7171137434585e-34 "1" "ZFP36"
"IER5" 1.72858713769881e-38 0.629437622173757 0.276 0.149 3.37091777722645e-34 "1" "IER5"
"RGS1" 4.49229255609525e-38 0.548586831524738 0.378 0.207 8.76041971364135e-34 "1" "RGS1"
"FCGR1" 5.76459874550434e-38 0.670366881997923 0.295 0.14 1.1241544013608e-33 "1" "FCGR1"
"RASGRP3" 6.2137891393661e-38 0.725768923906586 0.357 0.212 1.21175102006778e-33 "1" "RASGRP3"
"MAN2B1" 1.30716634817627e-37 0.617852170476207 0.359 0.199 2.54910509557854e-33 "1" "MAN2B1"
